,Property ID,Locality data,Price,Property type,Property subtype,Type of sale,Number of bedrooms,Living area m²,Equipped kitchen,Furnished,Open fire,Terrace surface m²,Garden area m²,Number of facades,Swimming pool,Building condition
215, 20240198,9620,465000,house,house,None,6,260,0,0,1,None,None,None,0,Good
216, 20237411,8790,499000,house,villa,None,3,160,1,0,1,None,None,4,0,Good
217, 20228249,5030,450000,house,house,None,5,346,0,0,1,60,950,2,0,Good
218, 20227310,1150,1150000,house,house,None,6,265,0,0,1,12,230,3,0,To renovate
219, 20237737,9870,849000,house,house,None,4,378,1,0,1,None,None,4,0,Good
220, 20214730,9040,545000,house,house,None,3,216,1,0,1,40,145,None,0,Good
221, 20213977,1160,649000,house,house,None,4,170,0,0,1,15,87,2,0,Good
222, 20227042,9051,390000,house,house,None,2,120,0,0,1,None,None,None,0,To renovate
223, 20228711,3080,475000,house,bungalow,None,3,103,1,0,1,15,300,4,0,To be done up
224, 20208562,9000,679000,house,house,None,4,195,1,0,1,20,50,2,0,Just renovated
225, 20238684,9280,399500,house,house,None,3,132,0,0,1,None,None,3,0,As new
226, 20223114,8530,249500,house,house,None,4,190,0,0,1,12,190,2,0,Good
227, 20224625,4460,255000,house,house,None,5,203,1,0,1,25,40,2,0,Good
228, 20224732,1400,295000,house,house,None,3,140,1,0,1,30,70,2,0,Good
229, 20223032,2000,680000,house,apartment-block,None,4,240,1,0,1,5,None,2,0,To be done up
230, 20232774,9300,220000,house,house,None,2,155,0,0,1,None,None,None,0,To be done up
231, 20232554,9810,349000,house,house,None,5,189,0,0,1,None,78,None,0,Just renovated
232, 20229330,1851,498000,house,villa,None,5,311,0,0,1,None,None,4,0,To renovate
233, 20232218,9000,619000,house,house,None,4,247,1,0,1,None,None,None,0,To be done up
234, 20232002,9520,1150000,house,house,None,3,303,0,0,1,None,None,4,0,Good
235, 20232748,8300,1690000,house,house,None,3,291,0,0,1,None,None,None,0,Good
236, 20231551,1050,4000000,house,apartment-block,None,None,1125,0,1,1,None,None,2,0,As new
237, 20211743,2610,425000,house,town-house,None,3,219,0,0,1,None,85,2,0,As new
238, 20213184,9100,435000,house,house,None,4,204,1,0,1,10,108,2,0,Good
239, 20212301,4000,460000,house,villa,None,3,200,0,0,1,36,600,4,0,Good
240, 20238309,9750,275000,house,house,None,3,175,0,0,1,None,None,None,0,To renovate
241, 20238449,9185,289000,house,house,None,2,125,1,0,1,None,160,3,0,As new
242, 20238448,9185,289000,house,house,None,2,125,1,0,1,None,160,3,0,As new
243, 20241792,9032,299000,house,house,None,4,140,1,0,1,None,None,2,0,To renovate
